text,label
Urgent: Your KYC has expired. Update now at http://short.url/xyz,1
You have received a scratch card worth ₹38264. Scratch here: http://192.168.1.1/pay,1
Amount of ₹21819 debited from your A/c. Available balance: ₹21819.,0
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Happy Birthday! Hope you have a great day.,0
Congratulations! You won a lottery of 46071. Click to claim: http://192.168.1.1/pay,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
Your parcel is held at customs. Pay ₹99 fee to release: http://192.168.1.1/pay,1
Income Tax Refund of ₹35953 approved. Claim here: http://cashback-offer.in@claim,1
Can you call me back when you are free?,0
Your flight PNR 765245 is confirmed. Web check-in at https://www.indigo.in,0
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
Your Amazon package will be delivered today by 9:00 PM.,0
You have received a scratch card worth ₹31560. Scratch here: http://update-kyc.ml,1
Amount of ₹27879 debited from your A/c. Available balance: ₹27879.,0
You have received a scratch card worth ₹43613. Scratch here: http://lottery-win.tk,1
Congratulations! You won a lottery of 23793. Click to claim: http://lottery-win.tk,1
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Income Tax Refund of ₹44290 approved. Claim here: http://192.168.1.1/pay,1
Amount of ₹38599 debited from your A/c. Available balance: ₹38599.,0
Can you call me back when you are free?,0
Please find the attached document for the meeting.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
Can you call me back when you are free?,0
Congratulations! You won a lottery of 5059. Click to claim: http://192.168.1.1/pay,1
Amount of ₹11338 debited from your A/c. Available balance: ₹11338.,0
Your Amazon package will be delivered today by 5:15 PM.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
"Hey, are we still meeting for dinner at 11:15 PM?",0
"Dear customer, your UPI PIN needs reset. Click http://bit.ly/fake-upi",1
Monthly Netflix subscription of ₹499 renewed successfully.,0
Please find the attached document for the meeting.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://192.168.1.1/pay,1
"Get instant personal loan up to ₹500,000. Apply: http://192.168.1.1/pay",1
Your Amazon package will be delivered today by 12:15 PM.,0
Congratulations! You won a lottery of 8584. Click to claim: http://lottery-win.tk,1
"Hey, are we still meeting for dinner at 6:30 PM?",0
You have received a scratch card worth ₹1512. Scratch here: http://lottery-win.tk,1
You have received a scratch card worth ₹11417. Scratch here: http://lottery-win.tk,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
"Dear customer, your UPI PIN needs reset. Click http://upi-verification.com",1
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
Your OTP for bank login is 105970. Do not share.,0
"Hey, are we still meeting for dinner at 1:00 PM?",0
You have received a scratch card worth ₹4788. Scratch here: http://update-kyc.ml,1
Income Tax Refund of ₹23024 approved. Claim here: http://short.url/xyz,1
Your flight PNR 363299 is confirmed. Web check-in at https://amazon.in/orders,0
Your parcel is held at customs. Pay ₹99 fee to release: http://cashback-offer.in@claim,1
Your Amazon package will be delivered today by 9:30 PM.,0
"Dear customer, your UPI PIN needs reset. Click http://upi-verification.com",1
Your parcel is held at customs. Pay ₹99 fee to release: http://cashback-offer.in@claim,1
Please find the attached document for the meeting.,0
You have received a scratch card worth ₹10410. Scratch here: http://bit.ly/fake-upi,1
Income Tax Refund of ₹2106 approved. Claim here: http://cashback-offer.in@claim,1
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Can you call me back when you are free?,0
Can you call me back when you are free?,0
Amount of ₹45793 debited from your A/c. Available balance: ₹45793.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
Congratulations! You won a lottery of 16873. Click to claim: http://192.168.1.1/pay,1
Claim your ₹38437 UPI cashback now at http://lottery-win.tk,1
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Income Tax Refund of ₹48689 approved. Claim here: http://192.168.1.1/pay,1
"Dear customer, your UPI PIN needs reset. Click http://lottery-win.tk",1
Your parcel is held at customs. Pay ₹99 fee to release: http://short.url/xyz,1
You have received a scratch card worth ₹16984. Scratch here: http://short.url/xyz,1
Amount of ₹47939 debited from your A/c. Available balance: ₹47939.,0
Your Amazon package will be delivered today by 8:30 PM.,0
Amount of ₹21322 debited from your A/c. Available balance: ₹21322.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Income Tax Refund of ₹40035 approved. Claim here: http://short.url/xyz,1
Congratulations! You won a lottery of 26253. Click to claim: http://cashback-offer.in@claim,1
Income Tax Refund of ₹6827 approved. Claim here: http://short.url/xyz,1
Your OTP for bank login is 386695. Do not share.,0
Your flight PNR 410607 is confirmed. Web check-in at https://amazon.in/orders,0
Urgent: Your KYC has expired. Update now at http://upi-verification.com,1
Reminder: Team standup at 2:15 PM.,0
Income Tax Refund of ₹14042 approved. Claim here: http://update-kyc.ml,1
Claim your ₹15270 UPI cashback now at http://lottery-win.tk,1
"Hey, are we still meeting for dinner at 7:30 AM?",0
Your flight PNR 215570 is confirmed. Web check-in at https://www.indigo.in,0
Congratulations! You won a lottery of 40107. Click to claim: http://update-kyc.ml,1
Your Amazon package will be delivered today by 11:45 AM.,0
Happy Birthday! Hope you have a great day.,0
"Hey, are we still meeting for dinner at 5:15 AM?",0
Your electricity bill is overdue. Pay here to avoid disconnection: http://upi-verification.com,1
Claim your ₹7823 UPI cashback now at http://short.url/xyz,1
Congratulations! You won a lottery of 20510. Click to claim: http://short.url/xyz,1
Income Tax Refund of ₹22080 approved. Claim here: http://lottery-win.tk,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://cashback-offer.in@claim,1
Congratulations! You won a lottery of 25668. Click to claim: http://update-kyc.ml,1
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
"Hey, are we still meeting for dinner at 12:00 AM?",0
Amount of ₹25133 debited from your A/c. Available balance: ₹25133.,0
Reminder: Team standup at 6:15 AM.,0
Can you call me back when you are free?,0
You have received a scratch card worth ₹39026. Scratch here: http://upi-verification.com,1
Income Tax Refund of ₹26611 approved. Claim here: http://short.url/xyz,1
Income Tax Refund of ₹33273 approved. Claim here: http://upi-verification.com,1
Your Amazon package will be delivered today by 9:15 PM.,0
"Hey, are we still meeting for dinner at 12:45 AM?",0
Your bank account will be blocked in 24 hrs. Verify PAN: http://short.url/xyz,1
Can you call me back when you are free?,0
Can you call me back when you are free?,0
Income Tax Refund of ₹5988 approved. Claim here: http://lottery-win.tk,1
Congratulations! You won a lottery of 9151. Click to claim: http://update-kyc.ml,1
Urgent: Your KYC has expired. Update now at http://cashback-offer.in@claim,1
Your OTP for bank login is 458725. Do not share.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://short.url/xyz,1
Amount of ₹33734 debited from your A/c. Available balance: ₹33734.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://cashback-offer.in@claim,1
"Get instant personal loan up to ₹500,000. Apply: http://lottery-win.tk",1
Please find the attached document for the meeting.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Congratulations! You won a lottery of 27848. Click to claim: http://update-kyc.ml,1
Urgent: Your KYC has expired. Update now at http://cashback-offer.in@claim,1
Your Amazon package will be delivered today by 9:15 AM.,0
Claim your ₹13333 UPI cashback now at http://upi-verification.com,1
Please find the attached document for the meeting.,0
Your Amazon package will be delivered today by 6:45 PM.,0
Your Amazon package will be delivered today by 11:30 AM.,0
Congratulations! You won a lottery of 34583. Click to claim: http://upi-verification.com,1
"Dear customer, your UPI PIN needs reset. Click http://bit.ly/fake-upi",1
Income Tax Refund of ₹18414 approved. Claim here: http://lottery-win.tk,1
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
Your parcel is held at customs. Pay ₹99 fee to release: http://192.168.1.1/pay,1
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Hey, are we still meeting for dinner at 4:30 AM?",0
Your electricity bill is overdue. Pay here to avoid disconnection: http://cashback-offer.in@claim,1
Your Amazon package will be delivered today by 10:15 AM.,0
Your OTP for bank login is 888310. Do not share.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://lottery-win.tk,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://lottery-win.tk,1
Income Tax Refund of ₹31791 approved. Claim here: http://short.url/xyz,1
"Hey, are we still meeting for dinner at 6:45 AM?",0
Reminder: Team standup at 3:30 AM.,0
Your Amazon package will be delivered today by 12:15 PM.,0
Claim your ₹49933 UPI cashback now at http://short.url/xyz,1
Your flight PNR 794147 is confirmed. Web check-in at https://netflix.com,0
"Hey, are we still meeting for dinner at 8:00 PM?",0
Income Tax Refund of ₹30620 approved. Claim here: http://lottery-win.tk,1
Urgent: Your KYC has expired. Update now at http://bit.ly/fake-upi,1
Your Amazon package will be delivered today by 6:30 PM.,0
"Hey, are we still meeting for dinner at 1:15 PM?",0
Congratulations! You won a lottery of 43246. Click to claim: http://short.url/xyz,1
Claim your ₹27363 UPI cashback now at http://update-kyc.ml,1
Urgent: Your KYC has expired. Update now at http://short.url/xyz,1
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
Reminder: Team standup at 12:45 AM.,0
Please find the attached document for the meeting.,0
Please find the attached document for the meeting.,0
Please find the attached document for the meeting.,0
Can you call me back when you are free?,0
"Dear customer, your UPI PIN needs reset. Click http://upi-verification.com",1
Your flight PNR 422811 is confirmed. Web check-in at https://amazon.in/orders,0
"Hey, are we still meeting for dinner at 9:00 AM?",0
Urgent: Your KYC has expired. Update now at http://cashback-offer.in@claim,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
Urgent: Your KYC has expired. Update now at http://upi-verification.com,1
Please find the attached document for the meeting.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://upi-verification.com,1
Your Amazon package will be delivered today by 10:45 AM.,0
Reminder: Team standup at 6:45 AM.,0
Your Amazon package will be delivered today by 2:45 AM.,0
"Hey, are we still meeting for dinner at 9:45 AM?",0
"Hey, are we still meeting for dinner at 6:00 AM?",0
"Get instant personal loan up to ₹500,000. Apply: http://upi-verification.com",1
Urgent: Your KYC has expired. Update now at http://short.url/xyz,1
"Dear customer, your UPI PIN needs reset. Click http://upi-verification.com",1
Your flight PNR 192725 is confirmed. Web check-in at https://amazon.in/orders,0
Reminder: Team standup at 4:00 AM.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Please find the attached document for the meeting.,0
Can you call me back when you are free?,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
Please find the attached document for the meeting.,0
Income Tax Refund of ₹30189 approved. Claim here: http://lottery-win.tk,1
Income Tax Refund of ₹45917 approved. Claim here: http://cashback-offer.in@claim,1
Your Amazon package will be delivered today by 6:00 PM.,0
Congratulations! You won a lottery of 26022. Click to claim: http://192.168.1.1/pay,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
Reminder: Team standup at 7:45 AM.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
"Get instant personal loan up to ₹500,000. Apply: http://update-kyc.ml",1
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Hey, are we still meeting for dinner at 2:30 PM?",0
Claim your ₹30805 UPI cashback now at http://192.168.1.1/pay,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://bit.ly/fake-upi,1
Congratulations! You won a lottery of 22191. Click to claim: http://cashback-offer.in@claim,1
Urgent: Your KYC has expired. Update now at http://short.url/xyz,1
Your parcel is held at customs. Pay ₹99 fee to release: http://bit.ly/fake-upi,1
Happy Birthday! Hope you have a great day.,0
"Dear customer, your UPI PIN needs reset. Click http://bit.ly/fake-upi",1
Claim your ₹32676 UPI cashback now at http://192.168.1.1/pay,1
Please find the attached document for the meeting.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://upi-verification.com,1
Congratulations! You won a lottery of 25290. Click to claim: http://update-kyc.ml,1
Your OTP for bank login is 329697. Do not share.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Reminder: Team standup at 8:00 AM.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
You have received a scratch card worth ₹19359. Scratch here: http://lottery-win.tk,1
Please find the attached document for the meeting.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://bit.ly/fake-upi,1
"Get instant personal loan up to ₹500,000. Apply: http://update-kyc.ml",1
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
Urgent: Your KYC has expired. Update now at http://bit.ly/fake-upi,1
Income Tax Refund of ₹15993 approved. Claim here: http://upi-verification.com,1
Claim your ₹12052 UPI cashback now at http://update-kyc.ml,1
Congratulations! You won a lottery of 21783. Click to claim: http://update-kyc.ml,1
Can you call me back when you are free?,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Hey, are we still meeting for dinner at 6:00 AM?",0
Congratulations! You won a lottery of 1240. Click to claim: http://cashback-offer.in@claim,1
Your OTP for bank login is 624285. Do not share.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Get instant personal loan up to ₹500,000. Apply: http://update-kyc.ml",1
Reminder: Team standup at 6:00 PM.,0
You have received a scratch card worth ₹36559. Scratch here: http://lottery-win.tk,1
"Hey, are we still meeting for dinner at 7:45 PM?",0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://short.url/xyz,1
"Dear customer, your UPI PIN needs reset. Click http://lottery-win.tk",1
Your OTP for bank login is 681804. Do not share.,0
Please find the attached document for the meeting.,0
Reminder: Team standup at 1:45 PM.,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://upi-verification.com,1
You have received a scratch card worth ₹2857. Scratch here: http://192.168.1.1/pay,1
Your OTP for bank login is 753397. Do not share.,0
Can you call me back when you are free?,0
Your flight PNR 576268 is confirmed. Web check-in at https://netflix.com,0
Your Amazon package will be delivered today by 2:15 PM.,0
"Hey, are we still meeting for dinner at 1:30 PM?",0
"Dear customer, your UPI PIN needs reset. Click http://bit.ly/fake-upi",1
Your Amazon package will be delivered today by 2:45 AM.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://short.url/xyz,1
Monthly Netflix subscription of ₹499 renewed successfully.,0
"Dear customer, your UPI PIN needs reset. Click http://short.url/xyz",1
Claim your ₹32854 UPI cashback now at http://update-kyc.ml,1
Monthly Netflix subscription of ₹499 renewed successfully.,0
Your OTP for bank login is 574554. Do not share.,0
Please find the attached document for the meeting.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://upi-verification.com,1
Your OTP for bank login is 921306. Do not share.,0
Happy Birthday! Hope you have a great day.,0
Happy Birthday! Hope you have a great day.,0
Your flight PNR 943685 is confirmed. Web check-in at https://netflix.com,0
Congratulations! You won a lottery of 34639. Click to claim: http://lottery-win.tk,1
Claim your ₹44708 UPI cashback now at http://update-kyc.ml,1
Your parcel is held at customs. Pay ₹99 fee to release: http://short.url/xyz,1
"Hey, are we still meeting for dinner at 7:15 PM?",0
Your parcel is held at customs. Pay ₹99 fee to release: http://lottery-win.tk,1
Your Amazon package will be delivered today by 7:45 PM.,0
Your OTP for bank login is 122880. Do not share.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://lottery-win.tk,1
Reminder: Team standup at 9:30 AM.,0
Please find the attached document for the meeting.,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://lottery-win.tk,1
Your OTP for bank login is 909468. Do not share.,0
Claim your ₹1981 UPI cashback now at http://cashback-offer.in@claim,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://192.168.1.1/pay,1
Can you call me back when you are free?,0
You have received a scratch card worth ₹38224. Scratch here: http://cashback-offer.in@claim,1
Happy Birthday! Hope you have a great day.,0
Please find the attached document for the meeting.,0
Claim your ₹39056 UPI cashback now at http://update-kyc.ml,1
Please find the attached document for the meeting.,0
Amount of ₹41690 debited from your A/c. Available balance: ₹41690.,0
You have received a scratch card worth ₹13303. Scratch here: http://bit.ly/fake-upi,1
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Your bank account will be blocked in 24 hrs. Verify PAN: http://cashback-offer.in@claim,1
Amount of ₹12783 debited from your A/c. Available balance: ₹12783.,0
Your flight PNR 424674 is confirmed. Web check-in at https://amazon.in/orders,0
"Get instant personal loan up to ₹500,000. Apply: http://upi-verification.com",1
"Hey, are we still meeting for dinner at 7:30 AM?",0
Congratulations! You won a lottery of 30742. Click to claim: http://cashback-offer.in@claim,1
Can you call me back when you are free?,0
"Get instant personal loan up to ₹500,000. Apply: http://lottery-win.tk",1
"Get instant personal loan up to ₹500,000. Apply: http://192.168.1.1/pay",1
Happy Birthday! Hope you have a great day.,0
Reminder: Team standup at 12:45 PM.,0
Claim your ₹8235 UPI cashback now at http://cashback-offer.in@claim,1
Please find the attached document for the meeting.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://lottery-win.tk,1
Claim your ₹40339 UPI cashback now at http://lottery-win.tk,1
Your Amazon package will be delivered today by 3:15 PM.,0
Claim your ₹25209 UPI cashback now at http://update-kyc.ml,1
Reminder: Team standup at 12:15 AM.,0
Your flight PNR 687771 is confirmed. Web check-in at https://netflix.com,0
"Dear customer, your UPI PIN needs reset. Click http://cashback-offer.in@claim",1
"Dear customer, your UPI PIN needs reset. Click http://update-kyc.ml",1
Please find the attached document for the meeting.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://upi-verification.com,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://192.168.1.1/pay,1
Happy Birthday! Hope you have a great day.,0
Your OTP for bank login is 430281. Do not share.,0
Happy Birthday! Hope you have a great day.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://bit.ly/fake-upi,1
Your parcel is held at customs. Pay ₹99 fee to release: http://update-kyc.ml,1
Income Tax Refund of ₹42726 approved. Claim here: http://upi-verification.com,1
Claim your ₹18099 UPI cashback now at http://update-kyc.ml,1
"Get instant personal loan up to ₹500,000. Apply: http://bit.ly/fake-upi",1
Your OTP for bank login is 963200. Do not share.,0
Your flight PNR 800876 is confirmed. Web check-in at https://www.indigo.in,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://upi-verification.com,1
Claim your ₹13039 UPI cashback now at http://upi-verification.com,1
Can you call me back when you are free?,0
Happy Birthday! Hope you have a great day.,0
Claim your ₹18132 UPI cashback now at http://cashback-offer.in@claim,1
Congratulations! You won a lottery of 35605. Click to claim: http://update-kyc.ml,1
Amount of ₹41462 debited from your A/c. Available balance: ₹41462.,0
Your parcel is held at customs. Pay ₹99 fee to release: http://192.168.1.1/pay,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://upi-verification.com,1
Your flight PNR 852347 is confirmed. Web check-in at https://amazon.in/orders,0
Your OTP for bank login is 536677. Do not share.,0
Amount of ₹25539 debited from your A/c. Available balance: ₹25539.,0
Please find the attached document for the meeting.,0
You have received a scratch card worth ₹18752. Scratch here: http://upi-verification.com,1
"Dear customer, your UPI PIN needs reset. Click http://192.168.1.1/pay",1
Amount of ₹19604 debited from your A/c. Available balance: ₹19604.,0
Your flight PNR 723699 is confirmed. Web check-in at https://amazon.in/orders,0
Your electricity bill is overdue. Pay here to avoid disconnection: http://update-kyc.ml,1
Your OTP for bank login is 466474. Do not share.,0
Claim your ₹23775 UPI cashback now at http://lottery-win.tk,1
Your OTP for bank login is 992362. Do not share.,0
Urgent: Your KYC has expired. Update now at http://short.url/xyz,1
Your electricity bill is overdue. Pay here to avoid disconnection: http://upi-verification.com,1
Can you call me back when you are free?,0
Reminder: Team standup at 4:00 AM.,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://cashback-offer.in@claim,1
Urgent: Your KYC has expired. Update now at http://cashback-offer.in@claim,1
Monthly Netflix subscription of ₹499 renewed successfully.,0
Please find the attached document for the meeting.,0
Your flight PNR 441549 is confirmed. Web check-in at https://amazon.in/orders,0
Monthly Netflix subscription of ₹499 renewed successfully.,0
Income Tax Refund of ₹26491 approved. Claim here: http://lottery-win.tk,1
Your bank account will be blocked in 24 hrs. Verify PAN: http://update-kyc.ml,1
Urgent: Your KYC has expired. Update now at http://short.url/xyz,1
Your Amazon package will be delivered today by 12:45 AM.,0
Income Tax Refund of ₹40914 approved. Claim here: http://cashback-offer.in@claim,1
Income Tax Refund of ₹22221 approved. Claim here: http://short.url/xyz,1
Can you call me back when you are free?,0
Your bank account will be blocked in 24 hrs. Verify PAN: http://short.url/xyz,1
"Dear customer, your UPI PIN needs reset. Click http://upi-verification.com",1
"Dear customer, your UPI PIN needs reset. Click http://short.url/xyz",1
You have received a scratch card worth ₹29839. Scratch here: http://cashback-offer.in@claim,1
Your parcel is held at customs. Pay ₹99 fee to release: http://bit.ly/fake-upi,1
